generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,commits,agreement_violations,real_liveness,potential_liveness,max_height,mutations,max_inter_block_latency_sec,avg_inter_block_latency_sec,global_blocks_committed,max_round_gap_between_committed_blocks,avg_round_gap_between_committed_blocks,global_rounds_committed,max_block_height_skew,final_block_height_skew,time_fitness,round_stress_fitness,block_height_skew_fitness
,,78,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_78,False,False,False,2,0,0,0,15.0,0,22.092238,11.279049,10,3,1.625,8,6,5,22.092238,3,6
,,79,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_79,False,False,False,2,0,0,0,10.0,26,33.367711,8.282197333333334,10,4,1.75,8,2,0,33.367711,4,2
,,80,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_80,False,False,False,4,0,0,0,12.0,6,25.140115,10.170245222222222,10,3,1.625,8,4,2,25.140115,3,4
,,81,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_81,False,False,False,4,0,0,0,11.0,19,16.122322,10.985134555555554,10,3,1.3333333333333333,9,2,1,16.122322,3,2
,,82,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_82,False,False,False,4,0,0,0,10.0,0,33.402991,12.889978222222222,10,4,1.4444444444444444,9,2,0,33.402991,4,2
,,83,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_83,False,False,False,4,0,0,0,10.0,33,15.109348,7.168706333333333,10,4,2.0,8,2,0,15.109348,4,2
,,84,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_84,False,False,False,4,0,0,0,10.0,35,17.092753,9.859006777777777,10,5,2.0,8,2,0,17.092753,5,2
,,85,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_85,False,False,False,4,0,0,0,10.0,32,23.132451,10.096307111111111,10,5,2.7142857142857144,7,2,0,23.132451,5,2
,,86,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_86,False,False,False,2,0,0,0,14.0,0,31.39589,14.123679625000001,9,5,2.0,7,5,5,31.39589,5,5
,,87,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_87,False,False,False,4,0,0,0,13.0,27,18.13238,7.4866668333333335,13,3,1.25,12,5,0,18.13238,3,5
,,88,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_88,False,False,False,2,0,0,0,11.0,55,14.168531,9.949681888888888,10,3,1.3333333333333333,9,5,1,14.168531,3,5
,,89,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_89,False,False,False,4,0,0,0,12.0,31,18.392512,8.2531948,11,3,1.5555555555555556,9,3,1,18.392512,3,3
,,90,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_90,False,False,False,4,0,0,0,10.0,33,15.10442,9.614207222222223,10,4,1.5555555555555556,9,2,0,15.10442,4,2
,,91,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_91,False,False,False,4,0,0,0,10.0,9,36.457467,10.314475666666667,10,4,2.0,8,2,0,36.457467,4,2
